champ_application,champ_tfi,libelle_tfi,type_donnee,obligatoire,format_attendu,regle_transformation,controle_avant_export,risque_en_cas_erreur,autorise_reinjection,commentaire
statut_export,,Statut export,string,oui,"PRET_TFI / A_VALIDER / BLOQUE_DONNEES_MANQUANTES / BLOQUE_INCOHERENCE / BLOQUE_SECURITE / IGNORE","Exporter uniquement PRET_TFI","Bloquer si différent de PRET_TFI","Import de données non validées",non,"Champ interne application, ne pas forcément importer dans TFI"
reference_interne_tfi,,Référence article TFI,string,oui,"Code article exact TFI","Aucune transformation sans mapping validé","Bloquer si vide ou doublon","Mise à jour du mauvais article",oui,"Champ critique à confirmer avec format TFI réel"
reference_fournisseur,,Référence fournisseur,string,a_confirmer,"Texte ou code fournisseur","Nettoyer espaces et caractères inutiles","Alerte si vide","Erreur achat fournisseur",a_confirmer,"À confirmer selon champ disponible dans TFI"
fournisseur_principal,,Fournisseur principal,string,a_confirmer,"Code fournisseur TFI","Mapper fournisseur application vers code TFI","Alerte si code inconnu","Erreur d'approvisionnement",a_confirmer,"Nécessite table de correspondance fournisseurs"
ancienne_valeur_stock_minimum,,Ancien stock minimum,number,non,"Nombre","Valeur informative avant modification","Vérifier cohérence historique","Perte de traçabilité",non,"Champ de contrôle, pas forcément à importer"
nouvelle_valeur_stock_minimum,,Nouveau stock minimum,number,oui,"Nombre positif","Arrondir selon unité stock si nécessaire","Bloquer si vide, négatif ou supérieur au maxi","Rupture ou surstock",oui,"Champ central pour réinjection"
ancienne_valeur_stock_maximum,,Ancien stock maximum,number,non,"Nombre","Valeur informative avant modification","Vérifier cohérence historique","Perte de traçabilité",non,"Champ de contrôle, pas forcément à importer"
nouvelle_valeur_stock_maximum,,Nouveau stock maximum,number,oui,"Nombre positif","Arrondir selon unité stock si nécessaire","Bloquer si vide, négatif ou inférieur au mini","Surstock ou paramétrage incohérent",oui,"Champ central pour réinjection"
nouveau_seuil_alerte,,Nouveau seuil d'alerte,number,a_confirmer,"Nombre positif","Par défaut égal au stock minimum","Bloquer si négatif","Alerte de réappro fausse",a_confirmer,"À confirmer si TFI dispose d'un champ seuil distinct"
unite_stock,,Unité de stock,string,a_confirmer,"Code unité TFI","Mapper unité application vers unité TFI","Bloquer si incohérence unité achat/stock/vente","Erreur de quantité",a_confirmer,"Champ sensible"
unite_achat,,Unité d'achat,string,a_confirmer,"Code unité TFI","Mapper unité application vers unité TFI","Alerte si vide","Erreur commande fournisseur",a_confirmer,"Champ sensible"
unite_vente,,Unité de vente,string,a_confirmer,"Code unité TFI","Mapper unité application vers unité TFI","Alerte si vide","Erreur facturation",a_confirmer,"Ne pas modifier sans validation renforcée"
conditionnement,,Conditionnement achat,string,a_confirmer,"Texte ou nombre selon TFI","Normaliser colisage, palette, botte, sac","Bloquer si nécessaire au calcul mais absent","Commande impossible ou surstock",a_confirmer,"À confirmer selon structure TFI"
multiple_achat,,Multiple achat,number,a_confirmer,"Nombre positif","Arrondir quantité réappro au multiple supérieur","Bloquer si quantité réappro non multiple","Commande fournisseur non conforme",a_confirmer,"Très utile pour mini/maxi"
delai_fournisseur_prudent_jours,,Délai fournisseur prudent,number,a_confirmer,"Nombre de jours","Utiliser valeur haute si fourchette","Alerte si absent","Mini sous-dimensionné",a_confirmer,"À confirmer si TFI accepte un délai article/fournisseur"
justification_modification,,Justification,string,oui,"Texte court","Expliquer la raison du changement","Obligatoire pour audit","Modification non traçable",non,"Champ de journalisation"
validation_humaine,,Validation humaine,string,oui,"OUI / NON","Exporter uniquement si OUI","Bloquer si NON","Modification non autorisée",non,"Champ interne de sécurité"
validateur,,Validateur,string,oui,"Nom ou identifiant interne","Renseigner avant export final","Bloquer si vide","Absence de responsabilité",non,"Champ de journalisation"
date_validation,,Date validation,date,oui,"YYYY-MM-DD","Date du contrôle humain","Bloquer si vide","Traçabilité insuffisante",non,"Champ de journalisation"
version_mapping_tfi,,Version mapping,string,oui,"V1.0 etc.","Indiquer la version utilisée","Bloquer si vide","Import avec mauvais mapping",non,"Champ de contrôle"
